0,0,0,0,0,29,82,47
29,82,47,0,0,28,82,48
28,82,48,0,0,30,86,50
30,86,50,0,0,29,89,50
29,89,50,0,0,30,92,51
30,92,51,0,0,30,93,52
30,93,52,0,0,30,89,50
30,89,50,0,0,29,82,48
29,82,48,0,0,30,93,50
30,93,50,0,0,31,95,53
31,95,53,0,0,31,92,50
31,92,50,0,0,30,91,50
30,91,50,0,0,30,91,50
30,91,50,0,0,30,92,50
30,92,50,0,0,30,92,50
30,92,50,0,0,31,96,52
31,96,52,0,0,31,105,54
31,105,54,0,0,35,181,80
35,181,80,0,0,36,849,290
36,849,290,-8,8,40,847,293
40,847,293,-8,8,49,654,242
49,654,242,-8,8,349,617,239
349,617,239,5,-5,349,233,327
349,233,327,0,0,315,231,281
315,231,281,0,0,330,272,302
330,272,302,0,0,315,274,292
315,274,292,0,0,314,288,295
314,288,295,0,0,325,304,306
325,304,306,0,0,330,310,312
330,310,312,0,0,336,314,315
336,314,315,0,0,335,315,314
335,315,314,9,7,353,330,331
353,330,331,0,0,456,440,394
456,440,394,9,7,503,496,404
503,496,404,9,7,290,863,489
290,863,489,-8,8,140,543,396
140,543,396,5,-5,53,279,147
53,279,147,5,-5,70,458,238
70,458,238,6,-6,94,657,342
94,657,342,-8,8,97,748,286
97,748,286,-8,8,109,638,345
109,638,345,-8,8,313,326,277
313,326,277,0,0,311,140,581
311,140,581,6,2,333,143,683
333,143,683,6,2,325,149,655
325,149,655,6,2,283,139,588
283,139,588,6,2,186,114,370
186,114,370,5,-5,125,92,217
125,92,217,5,-5,88,98,149
88,98,149,5,-5,112,242,176
112,242,176,0,0,121,565,219
121,565,219,-8,8,99,541,223
99,541,223,-8,8,245,264,159
245,264,159,0,0,406,159,509
406,159,509,5,-5,590,234,469
590,234,469,6,4,780,601,354
780,601,354,-4,6,484,798,353
484,798,353,9,7,736,728,292
46,97,100,5,-5,114,212142,360,5,-5,46,97,100
46,97,100,5,-5,114,212,227
114,212,227,5,-5,215,145,243
215,145,243,0,0,164,718,274
164,718,274,-8,8,194,856,315
194,856,315,-8,8,331,182,211
331,182,211,6,4,236,240,407
236,240,407,5,-5,753,390,849
753,390,849,5,-5,657,538,367
657,538,367,9,8,298,879,331
298,879,331,-8,8,76,856,307
76,856,307,-8,8,540,646,282
540,646,282,0,0,471,231,866
471,231,866,6,2,365,240,822
365,240,822,6,2,362,253,849
362,253,849,6,2,358,255,850
358,255,850,6,2,333,211,795
333,211,795,6,2,235,168,564
235,168,564,6,2,176,180,427
176,180,427,5,-5,74,147,186
74,147,186,5,-5,40,163,130
40,163,130,0,0,42,208,143
42,208,143,0,0,64,95,164
64,95,164,-5,4,53,80,138
53,80,138,5,-5,55,66,141
55,66,141,-4,5,91,66,218
